case_id;timestamp;activity
219473;2015-07-17 13:46:11.817000000;inschrijven
219473;2015-07-17 13:48:05.910000000;taken
219473;2015-07-17 13:48:24.647000000;taken
219473;2015-07-17 13:50:04.817000000;taken
219473;2015-07-17 13:50:24.363000000;mijn_sollicitaties
219473;2015-07-17 13:51:46.307000000;wdo211746
219473;2015-07-17 13:52:41.983000000;wdo211812
219473;2015-07-17 13:53:44.987000000;mijn_werkmap
219473;2015-07-17 13:56:03.077000000;vacatures_zoeken
219473;2015-07-17 13:56:23.907000000;vacatures_zoeken
219473;2015-07-17 13:56:38.147000000;vacatures_zoeken
219473;2015-07-17 13:57:18.077000000;vacatures_zoeken
219473;2015-07-17 13:58:39.227000000;vacatures_zoeken
219473;2015-07-17 13:59:18.823000000;vacatures_zoeken
219473;2015-07-17 13:59:27.747000000;vacatures_zoeken
219473;2015-07-17 13:59:39.880000000;vacatures_zoeken
219473;2015-07-17 14:00:40.187000000;vacatures_zoeken
219473;2015-07-17 14:01:53.573000000;vacatures_zoeken
219473;2015-07-17 14:07:25.727000000;vacatures_zoeken
219473;2015-07-17 14:07:49.043000000;vacatures_zoeken
219473;2015-07-17 14:09:03.620000000;vacatures_zoeken
219473;2015-07-17 14:09:27.897000000;vacatures_zoeken
219473;2015-07-17 14:09:53.057000000;vacatures_zoeken
219473;2015-07-17 14:10:26.787000000;vacatures_zoeken
219473;2015-07-17 14:10:57.237000000;vacatures_zoeken
219473;2015-07-17 14:11:13.723000000;vacatures_zoeken
219473;2015-07-17 14:11:28.050000000;vacatures_zoeken
219473;2015-07-17 14:11:44.687000000;vacatures_zoeken
219473;2015-07-17 14:12:31.210000000;vacatures_zoeken
219473;2015-07-17 14:13:06.887000000;vacatures_zoeken
219473;2015-07-17 14:15:12.043000000;vacatures_zoeken
219473;2015-07-17 14:21:08.383000000;vacatures_zoeken
219473;2015-07-17 14:21:14.793000000;home
243518;2015-07-17 14:41:51.083000000;inschrijven
243518;2015-07-17 14:42:19.997000000;mijn_sollicitaties
243518;2015-07-17 14:42:49.857000000;home
262137;2015-10-01 10:15:48.647000000;inschrijven
262137;2015-10-01 10:16:49.627000000;vacatures_bij_mijn_cv
262137;2015-10-01 10:16:58.357000000;vacatures_bij_mijn_cv
262137;2015-10-01 10:17:19.657000000;vacatures_bij_mijn_cv
262137;2015-10-01 10:24:53.467000000;taken
262137;2015-10-01 10:25:07.110000000;taken
262137;2015-10-01 10:25:47.833000000;taken
380370;2015-07-28 11:36:04.263000000;inschrijven
380370;2015-07-28 11:36:05.943000000;home
