case_id;timestamp;activity;case:concept:name;concept:name;time:timestamp;@@index;@@case_index;cluster
declaration 100433;2018-01-16 12:39:24+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100433;Declaration SUBMITTED by EMPLOYEE;2018-01-16 12:39:24+00:00;433;75;5
declaration 100433;2018-01-16 12:59:01+00:00;Declaration REJECTED by ADMINISTRATION;declaration 100433;Declaration REJECTED by ADMINISTRATION;2018-01-16 12:59:01+00:00;434;75;5
declaration 100433;2018-01-24 13:12:58+00:00;Declaration REJECTED by EMPLOYEE;declaration 100433;Declaration REJECTED by EMPLOYEE;2018-01-24 13:12:58+00:00;435;75;5
declaration 100433;2018-01-24 14:13:33+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100433;Declaration SUBMITTED by EMPLOYEE;2018-01-24 14:13:33+00:00;436;75;5
declaration 100433;2018-01-24 14:27:14+00:00;Declaration APPROVED by ADMINISTRATION;declaration 100433;Declaration APPROVED by ADMINISTRATION;2018-01-24 14:27:14+00:00;437;75;5
declaration 100433;2018-01-24 15:17:12+00:00;Declaration REJECTED by BUDGET OWNER;declaration 100433;Declaration REJECTED by BUDGET OWNER;2018-01-24 15:17:12+00:00;438;75;5
declaration 100433;2018-01-25 07:25:07+00:00;Declaration REJECTED by EMPLOYEE;declaration 100433;Declaration REJECTED by EMPLOYEE;2018-01-25 07:25:07+00:00;439;75;5
declaration 100512;2018-02-15 10:24:23+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100512;Declaration SUBMITTED by EMPLOYEE;2018-02-15 10:24:23+00:00;511;89;5
declaration 100512;2018-02-15 10:24:26+00:00;Declaration REJECTED by ADMINISTRATION;declaration 100512;Declaration REJECTED by ADMINISTRATION;2018-02-15 10:24:26+00:00;512;89;5
declaration 100512;2018-02-21 07:32:09+00:00;Declaration REJECTED by EMPLOYEE;declaration 100512;Declaration REJECTED by EMPLOYEE;2018-02-21 07:32:09+00:00;513;89;5
declaration 100543;2018-02-15 16:33:14+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100543;Declaration SUBMITTED by EMPLOYEE;2018-02-15 16:33:14+00:00;541;95;5
declaration 100543;2018-02-15 16:35:20+00:00;Declaration REJECTED by ADMINISTRATION;declaration 100543;Declaration REJECTED by ADMINISTRATION;2018-02-15 16:35:20+00:00;542;95;5
declaration 100543;2018-02-19 09:53:05+00:00;Declaration REJECTED by EMPLOYEE;declaration 100543;Declaration REJECTED by EMPLOYEE;2018-02-19 09:53:05+00:00;543;95;5
declaration 100723;2018-01-08 15:24:37+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100723;Declaration SUBMITTED by EMPLOYEE;2018-01-08 15:24:37+00:00;720;128;5
declaration 100723;2019-04-22 21:04:55+00:00;Declaration REJECTED by ADMINISTRATION;declaration 100723;Declaration REJECTED by ADMINISTRATION;2019-04-22 21:04:55+00:00;721;128;5
declaration 100764;2018-01-09 09:59:53+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100764;Declaration SUBMITTED by EMPLOYEE;2018-01-09 09:59:53+00:00;760;136;5
declaration 100764;2018-01-09 10:02:04+00:00;Declaration REJECTED by ADMINISTRATION;declaration 100764;Declaration REJECTED by ADMINISTRATION;2018-01-09 10:02:04+00:00;761;136;5
declaration 100764;2018-01-09 12:18:55+00:00;Declaration REJECTED by EMPLOYEE;declaration 100764;Declaration REJECTED by EMPLOYEE;2018-01-09 12:18:55+00:00;762;136;5
declaration 101303;2018-02-25 08:59:40+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 101303;Declaration SUBMITTED by EMPLOYEE;2018-02-25 08:59:40+00:00;1297;228;5
declaration 101303;2018-02-25 09:00:09+00:00;Declaration REJECTED by ADMINISTRATION;declaration 101303;Declaration REJECTED by ADMINISTRATION;2018-02-25 09:00:09+00:00;1298;228;5
