case_id;timestamp;activity;case:concept:name;concept:name;time:timestamp;@@index;@@case_index;cluster
declaration 100015;2018-01-30 12:06:43+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100015;Declaration SUBMITTED by EMPLOYEE;2018-01-30 12:06:43+00:00;15;3;2
declaration 100015;2018-01-30 12:06:46+00:00;Declaration APPROVED by ADMINISTRATION;declaration 100015;Declaration APPROVED by ADMINISTRATION;2018-01-30 12:06:46+00:00;16;3;2
declaration 100015;2018-01-31 13:30:18+00:00;Declaration APPROVED by BUDGET OWNER;declaration 100015;Declaration APPROVED by BUDGET OWNER;2018-01-31 13:30:18+00:00;17;3;2
declaration 100015;2018-02-01 09:54:22+00:00;Declaration FINAL_APPROVED by SUPERVISOR;declaration 100015;Declaration FINAL_APPROVED by SUPERVISOR;2018-02-01 09:54:22+00:00;18;3;2
declaration 100015;2018-02-02 07:22:46+00:00;Request Payment;declaration 100015;Request Payment;2018-02-02 07:22:46+00:00;19;3;2
declaration 100015;2018-02-05 16:31:02+00:00;Payment Handled;declaration 100015;Payment Handled;2018-02-05 16:31:02+00:00;20;3;2
declaration 100021;2018-01-31 10:05:55+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100021;Declaration SUBMITTED by EMPLOYEE;2018-01-31 10:05:55+00:00;21;4;2
declaration 100021;2018-01-31 10:10:56+00:00;Declaration APPROVED by ADMINISTRATION;declaration 100021;Declaration APPROVED by ADMINISTRATION;2018-01-31 10:10:56+00:00;22;4;2
declaration 100021;2018-01-31 12:23:35+00:00;Declaration APPROVED by BUDGET OWNER;declaration 100021;Declaration APPROVED by BUDGET OWNER;2018-01-31 12:23:35+00:00;23;4;2
declaration 100021;2018-02-01 12:26:04+00:00;Declaration FINAL_APPROVED by SUPERVISOR;declaration 100021;Declaration FINAL_APPROVED by SUPERVISOR;2018-02-01 12:26:04+00:00;24;4;2
declaration 100021;2018-02-08 11:15:26+00:00;Request Payment;declaration 100021;Request Payment;2018-02-08 11:15:26+00:00;25;4;2
declaration 100021;2018-02-12 16:31:20+00:00;Payment Handled;declaration 100021;Payment Handled;2018-02-12 16:31:20+00:00;26;4;2
declaration 100042;2018-04-20 11:55:22+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100042;Declaration SUBMITTED by EMPLOYEE;2018-04-20 11:55:22+00:00;42;8;2
declaration 100042;2018-04-20 11:55:29+00:00;Declaration APPROVED by ADMINISTRATION;declaration 100042;Declaration APPROVED by ADMINISTRATION;2018-04-20 11:55:29+00:00;43;8;2
declaration 100042;2018-04-23 09:20:42+00:00;Declaration APPROVED by BUDGET OWNER;declaration 100042;Declaration APPROVED by BUDGET OWNER;2018-04-23 09:20:42+00:00;44;8;2
declaration 100042;2018-04-30 03:15:52+00:00;Declaration FINAL_APPROVED by SUPERVISOR;declaration 100042;Declaration FINAL_APPROVED by SUPERVISOR;2018-04-30 03:15:52+00:00;45;8;2
declaration 100042;2018-05-01 05:55:03+00:00;Request Payment;declaration 100042;Request Payment;2018-05-01 05:55:03+00:00;46;8;2
declaration 100042;2018-05-03 15:31:15+00:00;Payment Handled;declaration 100042;Payment Handled;2018-05-03 15:31:15+00:00;47;8;2
declaration 100053;2018-04-20 12:13:39+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100053;Declaration SUBMITTED by EMPLOYEE;2018-04-20 12:13:39+00:00;53;10;2
declaration 100053;2018-04-20 12:13:46+00:00;Declaration APPROVED by ADMINISTRATION;declaration 100053;Declaration APPROVED by ADMINISTRATION;2018-04-20 12:13:46+00:00;54;10;2
declaration 100053;2018-04-20 12:41:34+00:00;Declaration APPROVED by BUDGET OWNER;declaration 100053;Declaration APPROVED by BUDGET OWNER;2018-04-20 12:41:34+00:00;55;10;2
declaration 100053;2018-04-27 03:15:43+00:00;Declaration FINAL_APPROVED by SUPERVISOR;declaration 100053;Declaration FINAL_APPROVED by SUPERVISOR;2018-04-27 03:15:43+00:00;56;10;2
declaration 100053;2018-07-10 15:04:56+00:00;Request Payment;declaration 100053;Request Payment;2018-07-10 15:04:56+00:00;57;10;2
declaration 100053;2018-07-12 15:31:18+00:00;Payment Handled;declaration 100053;Payment Handled;2018-07-12 15:31:18+00:00;58;10;2
declaration 100079;2018-04-20 12:33:39+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100079;Declaration SUBMITTED by EMPLOYEE;2018-04-20 12:33:39+00:00;79;15;2
declaration 100079;2018-04-20 12:46:06+00:00;Declaration APPROVED by ADMINISTRATION;declaration 100079;Declaration APPROVED by ADMINISTRATION;2018-04-20 12:46:06+00:00;80;15;2
declaration 100079;2018-04-23 09:20:03+00:00;Declaration APPROVED by BUDGET OWNER;declaration 100079;Declaration APPROVED by BUDGET OWNER;2018-04-23 09:20:03+00:00;81;15;2
declaration 100079;2018-04-24 10:23:51+00:00;Declaration FINAL_APPROVED by SUPERVISOR;declaration 100079;Declaration FINAL_APPROVED by SUPERVISOR;2018-04-24 10:23:51+00:00;82;15;2
declaration 100079;2018-04-26 06:14:53+00:00;Request Payment;declaration 100079;Request Payment;2018-04-26 06:14:53+00:00;83;15;2
declaration 100079;2018-04-30 15:31:10+00:00;Payment Handled;declaration 100079;Payment Handled;2018-04-30 15:31:10+00:00;84;15;2
declaration 100105;2018-04-21 17:40:05+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100105;Declaration SUBMITTED by EMPLOYEE;2018-04-21 17:40:05+00:00;105;20;2
declaration 100105;2018-04-29 18:48:27+00:00;Declaration APPROVED by ADMINISTRATION;declaration 100105;Declaration APPROVED by ADMINISTRATION;2018-04-29 18:48:27+00:00;106;20;2
declaration 100105;2018-04-30 07:36:43+00:00;Declaration APPROVED by BUDGET OWNER;declaration 100105;Declaration APPROVED by BUDGET OWNER;2018-04-30 07:36:43+00:00;107;20;2
declaration 100105;2018-05-01 14:12:56+00:00;Declaration FINAL_APPROVED by SUPERVISOR;declaration 100105;Declaration FINAL_APPROVED by SUPERVISOR;2018-05-01 14:12:56+00:00;108;20;2
declaration 100105;2018-05-02 06:22:13+00:00;Request Payment;declaration 100105;Request Payment;2018-05-02 06:22:13+00:00;109;20;2
declaration 100105;2018-05-07 15:31:13+00:00;Payment Handled;declaration 100105;Payment Handled;2018-05-07 15:31:13+00:00;110;20;2
declaration 100116;2018-04-22 08:43:09+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100116;Declaration SUBMITTED by EMPLOYEE;2018-04-22 08:43:09+00:00;116;22;2
declaration 100116;2018-04-22 08:45:52+00:00;Declaration APPROVED by ADMINISTRATION;declaration 100116;Declaration APPROVED by ADMINISTRATION;2018-04-22 08:45:52+00:00;117;22;2
declaration 100116;2018-04-23 08:07:48+00:00;Declaration APPROVED by BUDGET OWNER;declaration 100116;Declaration APPROVED by BUDGET OWNER;2018-04-23 08:07:48+00:00;118;22;2
declaration 100116;2018-04-24 08:26:08+00:00;Declaration FINAL_APPROVED by SUPERVISOR;declaration 100116;Declaration FINAL_APPROVED by SUPERVISOR;2018-04-24 08:26:08+00:00;119;22;2
declaration 100116;2018-04-24 08:26:09+00:00;Request Payment;declaration 100116;Request Payment;2018-04-24 08:26:09+00:00;120;22;2
declaration 100116;2018-04-26 15:30:51+00:00;Payment Handled;declaration 100116;Payment Handled;2018-04-26 15:30:51+00:00;121;22;2
declaration 100131;2018-04-22 08:51:51+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100131;Declaration SUBMITTED by EMPLOYEE;2018-04-22 08:51:51+00:00;131;24;2
declaration 100131;2018-04-22 08:54:04+00:00;Declaration APPROVED by ADMINISTRATION;declaration 100131;Declaration APPROVED by ADMINISTRATION;2018-04-22 08:54:04+00:00;132;24;2
