case_id;timestamp;activity;case:concept:name;concept:name;time:timestamp;@@index;@@case_index;cluster
declaration 86564;2017-03-03 15:20:37+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 86564;Declaration SUBMITTED by EMPLOYEE;2017-03-03 15:20:37+00:00;43123;7679;0
declaration 86564;2017-03-03 15:20:44+00:00;Declaration REJECTED by SUPERVISOR;declaration 86564;Declaration REJECTED by SUPERVISOR;2017-03-03 15:20:44+00:00;43124;7679;0
declaration 86564;2017-03-07 06:07:05+00:00;Declaration REJECTED by EMPLOYEE;declaration 86564;Declaration REJECTED by EMPLOYEE;2017-03-07 06:07:05+00:00;43125;7679;0
declaration 86564;2017-03-07 07:19:15+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 86564;Declaration SUBMITTED by EMPLOYEE;2017-03-07 07:19:15+00:00;43126;7679;0
declaration 86564;2017-03-07 07:19:19+00:00;Declaration FINAL_APPROVED by SUPERVISOR;declaration 86564;Declaration FINAL_APPROVED by SUPERVISOR;2017-03-07 07:19:19+00:00;43127;7679;0
declaration 86564;2017-03-09 08:54:47+00:00;Request Payment;declaration 86564;Request Payment;2017-03-09 08:54:47+00:00;43128;7679;0
declaration 86564;2017-03-13 16:30:59+00:00;Payment Handled;declaration 86564;Payment Handled;2017-03-13 16:30:59+00:00;43129;7679;0
declaration 86572;2017-01-12 15:36:54+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 86572;Declaration SUBMITTED by EMPLOYEE;2017-01-12 15:36:54+00:00;43130;7680;0
declaration 86572;2017-01-12 15:37:25+00:00;Declaration FINAL_APPROVED by SUPERVISOR;declaration 86572;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-12 15:37:25+00:00;43131;7680;0
declaration 86572;2017-01-13 13:07:43+00:00;Request Payment;declaration 86572;Request Payment;2017-01-13 13:07:43+00:00;43132;7680;0
declaration 86572;2017-01-16 16:32:14+00:00;Payment Handled;declaration 86572;Payment Handled;2017-01-16 16:32:14+00:00;43133;7680;0
declaration 86576;2017-01-12 15:39:51+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 86576;Declaration SUBMITTED by EMPLOYEE;2017-01-12 15:39:51+00:00;43134;7681;0
