case_id;timestamp;activity;case:concept:name;concept:name;time:timestamp;@@index;@@case_index;cluster
declaration 100433;2018-01-16 12:39:24+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100433;Declaration SUBMITTED by EMPLOYEE;2018-01-16 12:39:24+00:00;433;75;8
declaration 100433;2018-01-16 12:59:01+00:00;Declaration REJECTED by ADMINISTRATION;declaration 100433;Declaration REJECTED by ADMINISTRATION;2018-01-16 12:59:01+00:00;434;75;8
declaration 100433;2018-01-24 13:12:58+00:00;Declaration REJECTED by EMPLOYEE;declaration 100433;Declaration REJECTED by EMPLOYEE;2018-01-24 13:12:58+00:00;435;75;8
declaration 100433;2018-01-24 14:13:33+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100433;Declaration SUBMITTED by EMPLOYEE;2018-01-24 14:13:33+00:00;436;75;8
declaration 100433;2018-01-24 14:27:14+00:00;Declaration APPROVED by ADMINISTRATION;declaration 100433;Declaration APPROVED by ADMINISTRATION;2018-01-24 14:27:14+00:00;437;75;8
declaration 100433;2018-01-24 15:17:12+00:00;Declaration REJECTED by BUDGET OWNER;declaration 100433;Declaration REJECTED by BUDGET OWNER;2018-01-24 15:17:12+00:00;438;75;8
declaration 100433;2018-01-25 07:25:07+00:00;Declaration REJECTED by EMPLOYEE;declaration 100433;Declaration REJECTED by EMPLOYEE;2018-01-25 07:25:07+00:00;439;75;8
declaration 102118;2018-02-05 16:24:52+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 102118;Declaration SUBMITTED by EMPLOYEE;2018-02-05 16:24:52+00:00;2102;376;8
declaration 102118;2018-02-05 16:28:50+00:00;Declaration APPROVED by ADMINISTRATION;declaration 102118;Declaration APPROVED by ADMINISTRATION;2018-02-05 16:28:50+00:00;2103;376;8
declaration 102118;2018-02-08 10:36:31+00:00;Declaration REJECTED by SUPERVISOR;declaration 102118;Declaration REJECTED by SUPERVISOR;2018-02-08 10:36:31+00:00;2104;376;8
declaration 102118;2018-02-13 21:47:52+00:00;Declaration REJECTED by EMPLOYEE;declaration 102118;Declaration REJECTED by EMPLOYEE;2018-02-13 21:47:52+00:00;2105;376;8
declaration 102546;2018-03-11 20:55:54+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 102546;Declaration SUBMITTED by EMPLOYEE;2018-03-11 20:55:54+00:00;2524;454;8
declaration 102546;2018-03-11 20:55:58+00:00;Declaration APPROVED by ADMINISTRATION;declaration 102546;Declaration APPROVED by ADMINISTRATION;2018-03-11 20:55:58+00:00;2525;454;8
declaration 102546;2018-03-12 09:08:06+00:00;Declaration REJECTED by SUPERVISOR;declaration 102546;Declaration REJECTED by SUPERVISOR;2018-03-12 09:08:06+00:00;2526;454;8
declaration 102546;2018-03-12 11:47:53+00:00;Declaration REJECTED by EMPLOYEE;declaration 102546;Declaration REJECTED by EMPLOYEE;2018-03-12 11:47:53+00:00;2527;454;8
