id;org:resource;concept:name;time:timestamp;org:role;case:id;case:concept:name;case:BudgetNumber;case:DeclarationNumber;case:Amount;start_timestamp;year;start_year;trace;cluster
st_step 86610_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-17 10:51:37+00:00;EMPLOYEE;declaration 86604;declaration 86604;budget 86566;declaration number 86605;59.461631562157415;2017-01-17 10:51:37+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;3
st_step 86609_0;STAFF MEMBER;Declaration REJECTED by SUPERVISOR;2017-01-17 10:53:09+00:00;SUPERVISOR;declaration 86604;declaration 86604;budget 86566;declaration number 86605;59.461631562157415;2017-01-17 10:53:09+00:00;2017;2017;Declaration REJECTED by SUPERVISOR;3
st_step 86608_0;STAFF MEMBER;Declaration REJECTED by EMPLOYEE;2017-01-20 09:05:00+00:00;EMPLOYEE;declaration 86604;declaration 86604;budget 86566;declaration number 86605;59.461631562157415;2017-01-20 09:05:00+00:00;2017;2017;Declaration REJECTED by EMPLOYEE;3
st_step 86606_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-20 16:30:13+00:00;EMPLOYEE;declaration 86604;declaration 86604;budget 86566;declaration number 86605;59.461631562157415;2017-01-20 16:30:13+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;3
st_step 86607_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-20 16:30:38+00:00;SUPERVISOR;declaration 86604;declaration 86604;budget 86566;declaration number 86605;59.461631562157415;2017-01-20 16:30:38+00:00;2017;2017;Declaration FINAL_APPROVED by SUPERVISOR;3
dd_declaration 86604_19;SYSTEM;Request Payment;2017-01-23 14:47:36+00:00;UNDEFINED;declaration 86604;declaration 86604;budget 86566;declaration number 86605;59.461631562157415;2017-01-23 14:47:36+00:00;2017;2017;Request Payment;3
dd_declaration 86604_20;SYSTEM;Payment Handled;2017-01-26 17:30:39+00:00;UNDEFINED;declaration 86604;declaration 86604;budget 86566;declaration number 86605;59.461631562157415;2017-01-26 17:30:39+00:00;2017;2017;Payment Handled;3
st_step 86715_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-18 09:05:04+00:00;EMPLOYEE;declaration 86708;declaration 86708;budget 86566;declaration number 86709;110.51789031808528;2017-01-18 09:05:04+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;3
st_step 86713_0;STAFF MEMBER;Declaration REJECTED by PRE_APPROVER;2017-01-18 09:05:20+00:00;PRE_APPROVER;declaration 86708;declaration 86708;budget 86566;declaration number 86709;110.51789031808528;2017-01-18 09:05:20+00:00;2017;2017;Declaration REJECTED by PRE_APPROVER;3
st_step 86714_0;STAFF MEMBER;Declaration REJECTED by EMPLOYEE;2017-01-18 09:29:42+00:00;EMPLOYEE;declaration 86708;declaration 86708;budget 86566;declaration number 86709;110.51789031808528;2017-01-18 09:29:42+00:00;2017;2017;Declaration REJECTED by EMPLOYEE;3
st_step 86712_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-18 11:07:02+00:00;EMPLOYEE;declaration 86708;declaration 86708;budget 86566;declaration number 86709;110.51789031808528;2017-01-18 11:07:02+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;3
st_step 86711_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-01-18 11:07:35+00:00;PRE_APPROVER;declaration 86708;declaration 86708;budget 86566;declaration number 86709;110.51789031808528;2017-01-18 11:07:35+00:00;2017;2017;Declaration APPROVED by PRE_APPROVER;3
st_step 86710_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-18 11:43:52+00:00;SUPERVISOR;declaration 86708;declaration 86708;budget 86566;declaration number 86709;110.51789031808528;2017-01-18 11:43:52+00:00;2017;2017;Declaration FINAL_APPROVED by SUPERVISOR;3
dd_declaration 86708_19;SYSTEM;Request Payment;2017-01-19 16:22:12+00:00;UNDEFINED;declaration 86708;declaration 86708;budget 86566;declaration number 86709;110.51789031808528;2017-01-19 16:22:12+00:00;2017;2017;Request Payment;3
dd_declaration 86708_20;SYSTEM;Payment Handled;2017-01-23 17:32:00+00:00;UNDEFINED;declaration 86708;declaration 86708;budget 86566;declaration number 86709;110.51789031808528;2017-01-23 17:32:00+00:00;2017;2017;Payment Handled;3
st_step 89296_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-23 21:38:20+00:00;EMPLOYEE;declaration 89290;declaration 89290;budget 86566;declaration number 89291;133.65209928004083;2017-01-23 21:38:20+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;3
st_step 89294_0;STAFF MEMBER;Declaration REJECTED by SUPERVISOR;2017-02-04 17:44:37+00:00;SUPERVISOR;declaration 89290;declaration 89290;budget 86566;declaration number 89291;133.65209928004083;2017-02-04 17:44:37+00:00;2017;2017;Declaration REJECTED by SUPERVISOR;3
st_step 89295_0;STAFF MEMBER;Declaration REJECTED by EMPLOYEE;2017-02-06 13:56:26+00:00;EMPLOYEE;declaration 89290;declaration 89290;budget 86566;declaration number 89291;133.65209928004083;2017-02-06 13:56:26+00:00;2017;2017;Declaration REJECTED by EMPLOYEE;3
st_step 89293_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-02-08 23:00:54+00:00;EMPLOYEE;declaration 89290;declaration 89290;budget 86566;declaration number 89291;133.65209928004083;2017-02-08 23:00:54+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;3
st_step 89292_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-02-08 23:09:50+00:00;SUPERVISOR;declaration 89290;declaration 89290;budget 86566;declaration number 89291;133.65209928004083;2017-02-08 23:09:50+00:00;2017;2017;Declaration FINAL_APPROVED by SUPERVISOR;3
dd_declaration 89290_19;SYSTEM;Request Payment;2017-02-09 12:38:07+00:00;UNDEFINED;declaration 89290;declaration 89290;budget 86566;declaration number 89291;133.65209928004083;2017-02-09 12:38:07+00:00;2017;2017;Request Payment;3
dd_declaration 89290_20;SYSTEM;Payment Handled;2017-02-13 17:32:14+00:00;UNDEFINED;declaration 89290;declaration 89290;budget 86566;declaration number 89291;133.65209928004083;2017-02-13 17:32:14+00:00;2017;2017;Payment Handled;3
st_step 89431_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-25 10:26:50+00:00;EMPLOYEE;declaration 89425;declaration 89425;budget 86566;declaration number 89426;42.1933702332237;2017-01-25 10:26:50+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;3
st_step 89432_0;STAFF MEMBER;Declaration REJECTED by PRE_APPROVER;2017-01-25 10:27:24+00:00;PRE_APPROVER;declaration 89425;declaration 89425;budget 86566;declaration number 89426;42.1933702332237;2017-01-25 10:27:24+00:00;2017;2017;Declaration REJECTED by PRE_APPROVER;3
st_step 89430_0;STAFF MEMBER;Declaration REJECTED by EMPLOYEE;2017-01-26 08:29:19+00:00;EMPLOYEE;declaration 89425;declaration 89425;budget 86566;declaration number 89426;42.1933702332237;2017-01-26 08:29:19+00:00;2017;2017;Declaration REJECTED by EMPLOYEE;3
st_step 89428_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-26 09:50:55+00:00;EMPLOYEE;declaration 89425;declaration 89425;budget 86566;declaration number 89426;42.1933702332237;2017-01-26 09:50:55+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;3
st_step 89429_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-01-26 09:52:00+00:00;PRE_APPROVER;declaration 89425;declaration 89425;budget 86566;declaration number 89426;42.1933702332237;2017-01-26 09:52:00+00:00;2017;2017;Declaration APPROVED by PRE_APPROVER;3
st_step 89427_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-26 12:00:53+00:00;SUPERVISOR;declaration 89425;declaration 89425;budget 86566;declaration number 89426;42.1933702332237;2017-01-26 12:00:53+00:00;2017;2017;Declaration FINAL_APPROVED by SUPERVISOR;3
dd_declaration 89425_19;SYSTEM;Request Payment;2017-02-02 10:26:33+00:00;UNDEFINED;declaration 89425;declaration 89425;budget 86566;declaration number 89426;42.1933702332237;2017-02-02 10:26:33+00:00;2017;2017;Request Payment;3
dd_declaration 89425_20;SYSTEM;Payment Handled;2017-02-06 17:31:41+00:00;UNDEFINED;declaration 89425;declaration 89425;budget 86566;declaration number 89426;42.1933702332237;2017-02-06 17:31:41+00:00;2017;2017;Payment Handled;3
