id;org:resource;concept:name;time:timestamp;org:role;case:id;case:concept:name;case:BudgetNumber;case:DeclarationNumber;case:Amount;start_timestamp;year;start_year;trace;cluster
st_step 86814_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-09 12:14:36+00:00;EMPLOYEE;declaration 86809;declaration 86809;budget 86566;declaration number 86810;333.4409095020257;2017-01-09 12:14:36+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;6
st_step 86813_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-09 12:14:49+00:00;SUPERVISOR;declaration 86809;declaration 86809;budget 86566;declaration number 86810;333.4409095020257;2017-01-09 12:14:49+00:00;2017;2017;Declaration FINAL_APPROVED by SUPERVISOR;6
st_step 86815_0;STAFF MEMBER;Declaration REJECTED by MISSING;2017-01-10 15:35:19+00:00;MISSING;declaration 86809;declaration 86809;budget 86566;declaration number 86810;333.4409095020257;2017-01-10 15:35:19+00:00;2017;2017;Declaration REJECTED by MISSING;6
st_step 86812_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-20 14:43:27+00:00;EMPLOYEE;declaration 86809;declaration 86809;budget 86566;declaration number 86810;333.4409095020257;2017-01-20 14:43:27+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;6
st_step 86811_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-20 14:44:43+00:00;SUPERVISOR;declaration 86809;declaration 86809;budget 86566;declaration number 86810;333.4409095020257;2017-01-20 14:44:43+00:00;2017;2017;Declaration FINAL_APPROVED by SUPERVISOR;6
dd_declaration 86809_19;SYSTEM;Request Payment;2017-01-27 10:55:21+00:00;UNDEFINED;declaration 86809;declaration 86809;budget 86566;declaration number 86810;333.4409095020257;2017-01-27 10:55:21+00:00;2017;2017;Request Payment;6
dd_declaration 86809_20;SYSTEM;Payment Handled;2017-01-30 17:31:35+00:00;UNDEFINED;declaration 86809;declaration 86809;budget 86566;declaration number 86810;333.4409095020257;2017-01-30 17:31:35+00:00;2017;2017;Payment Handled;6
st_step 86744_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-10 11:50:59+00:00;EMPLOYEE;declaration 86739;declaration 86739;budget 86566;declaration number 86740;77.61163561940667;2017-01-10 11:50:59+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;6
st_step 86743_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-10 11:51:02+00:00;SUPERVISOR;declaration 86739;declaration 86739;budget 86566;declaration number 86740;77.61163561940667;2017-01-10 11:51:02+00:00;2017;2017;Declaration FINAL_APPROVED by SUPERVISOR;6
st_step 86745_0;STAFF MEMBER;Declaration REJECTED by MISSING;2017-01-10 15:46:59+00:00;MISSING;declaration 86739;declaration 86739;budget 86566;declaration number 86740;77.61163561940667;2017-01-10 15:46:59+00:00;2017;2017;Declaration REJECTED by MISSING;6
st_step 86741_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-17 15:59:44+00:00;EMPLOYEE;declaration 86739;declaration 86739;budget 86566;declaration number 86740;77.61163561940667;2017-01-17 15:59:44+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;6
