id;org:resource;concept:name;time:timestamp;org:role;case:id;case:concept:name;case:BudgetNumber;case:DeclarationNumber;case:Amount;start_timestamp;year;start_year;trace;cluster
st_step 101981_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-12-08 16:54:30+00:00;EMPLOYEE;declaration 101974;declaration 101974;budget 86566;declaration number 101975;144.523428834933;2017-12-08 16:54:30+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;7
st_step 101979_0;STAFF MEMBER;Declaration REJECTED by SUPERVISOR;2017-12-08 16:54:45+00:00;SUPERVISOR;declaration 101974;declaration 101974;budget 86566;declaration number 101975;144.523428834933;2017-12-08 16:54:45+00:00;2017;2017;Declaration REJECTED by SUPERVISOR;7
st_step 101980_0;STAFF MEMBER;Declaration REJECTED by EMPLOYEE;2017-12-20 08:25:21+00:00;EMPLOYEE;declaration 101974;declaration 101974;budget 86566;declaration number 101975;144.523428834933;2017-12-20 08:25:21+00:00;2017;2017;Declaration REJECTED by EMPLOYEE;7
st_step 101978_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2018-01-31 11:06:59+00:00;EMPLOYEE;declaration 101974;declaration 101974;budget 86566;declaration number 101975;144.523428834933;2018-01-31 11:06:59+00:00;2018;2017;Declaration SUBMITTED by EMPLOYEE;7
st_step 101976_0;STAFF MEMBER;Declaration APPROVED by ADMINISTRATION;2018-01-31 11:08:36+00:00;ADMINISTRATION;declaration 101974;declaration 101974;budget 86566;declaration number 101975;144.523428834933;2018-01-31 11:08:36+00:00;2018;2017;Declaration APPROVED by ADMINISTRATION;7
st_step 101977_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2018-01-31 13:31:04+00:00;SUPERVISOR;declaration 101974;declaration 101974;budget 86566;declaration number 101975;144.523428834933;2018-01-31 13:31:04+00:00;2018;2017;Declaration FINAL_APPROVED by SUPERVISOR;7
dd_declaration 101974_19;SYSTEM;Request Payment;2018-02-06 08:31:14+00:00;UNDEFINED;declaration 101974;declaration 101974;budget 86566;declaration number 101975;144.523428834933;2018-02-06 08:31:14+00:00;2018;2017;Request Payment;7
dd_declaration 101974_20;SYSTEM;Payment Handled;2018-02-08 17:31:10+00:00;UNDEFINED;declaration 101974;declaration 101974;budget 86566;declaration number 101975;144.523428834933;2018-02-08 17:31:10+00:00;2018;2017;Payment Handled;7
st_step 101091_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2018-01-08 07:05:15+00:00;EMPLOYEE;declaration 101084;declaration 101084;budget 86566;declaration number 101085;15.330809422620286;2018-01-08 07:05:15+00:00;2018;2018;Declaration SUBMITTED by EMPLOYEE;7
st_step 101090_0;STAFF MEMBER;Declaration APPROVED by ADMINISTRATION;2018-01-28 11:50:54+00:00;ADMINISTRATION;declaration 101084;declaration 101084;budget 86566;declaration number 101085;15.330809422620286;2018-01-28 11:50:54+00:00;2018;2018;Declaration APPROVED by ADMINISTRATION;7
